"Business_Impact","Category","Confidence","Customer_Satisfaction_Score","Entity_Extraction","Escalation_Required","Expected_Automation_Rate","Expected_Resolution_Path","Expected_Response_Time_ms","Platform","Query_ID","Query_Text","Sarcasm_Detected","Sentiment","Sentiment_Intensity","Sub_Category"
"Low","Order Tracking","0.93","4.3","Need: Proof of Delivery, Purpose: Dispute Resolution","FALSE","98%","Path A - API Resolution","180","WhatsApp","COMPLEX-060","I need proof of delivery because my customer is claiming non-receipt","FALSE","Neutral","Low","Proof Required"
"Low","General Questions","0.75","3.7","Request: Combine Promos, Type: Discount","FALSE","60%","Path B - RAG Response","420","Email","COMPLEX-061","Can I combine multiple promotions for maximum discount?","FALSE","Neutral","Low","Promotion Stacking"
"Low","General Questions","0.82","3.6","Issue: Regional Price Variance, Concern: Fairness","TRUE","65%","Path B - RAG Response","420","Chat","COMPLEX-062","I've noticed prices are lower in another region. Is this fair pricing?","FALSE","Negative","Medium","Pricing Transparency"
"High","Order Tracking","0.81","3.8","Issue: Customs, Concern: Country Restrictions","FALSE","70%","Path B - RAG Response","420","Whats App","COMPLEX-063","My order contains restricted items for my country. Will it be held at customs?","FALSE","Neutral","Low","Regulatory Compliance"
"Low","General Questions","0.88","4.3","Type: B2B, Request: Company Invoice","FALSE","95%","Path A - API Resolution","210","Email","COMPLEX-064","I purchased on behalf of my company. Can I get an invoice with company details?","FALSE","Neutral","Low","B2B Request"
"Low","General Questions","0.86","3.7","Issue: Pricing Mismatch, Scope: Seasonal Sale","FALSE","80%","Path A - API Resolution","280","WhatsApp","COMPLEX-065","The seasonal sale pricing is showing as expired but items are still marked as 'Sale'","FALSE","Negative","Low","Pricing Discrepancy"
"Low","Refund Requests","0.80","4.0","Request: Replacement with Variant, Condition: Alternative","FALSE","75%","Path B - RAG Response","420","Chat","COMPLEX-066","I want a replacement but in a different color since my original order is backordered.","FALSE","Neutral","Low","Conditional Replacement"
"High","Payment Issues","0.95","3.4","Issue: Declined Card Yet Charged, Urgency: High","TRUE","90%","Path A - API Resolution","280","Email","COMPLEX-067","My payment method was declined but I was still charged. Please investigate!","FALSE","Negative","High","Phantom Charge"
"Low","Subscription Issues","0.92","4.4","Request: Update Payment, Type: Recurring","FALSE","98%","Path B - RAG Response","420","WhatsApp","COMPLEX-068","I need to update my payment method for a recurring subscription. How do I do this?","FALSE","Neutral","Low","Account Management"
"Low","General Questions","0.91","4.3","Request: Full Audit Trail, Purpose: Account Review","FALSE","85%","Path A - API Resolution","280","Chat","COMPLEX-069","Can you provide a complete audit trail of all purchases and refunds on my account?","FALSE","Neutral","Low","Compliance Request"
"High","Order Tracking","0.94","3.7","Type: Digital Product, Issue: Missing Link","TRUE","95%","Path A - API Resolution","210","Email","COMPLEX-070","I purchased a digital product but never received the download link!","FALSE","Negative","Medium","Digital Delivery"
